post_id,post_url,platform,account_name,source_file,caption_text,clean_text,model_text,hashtags,mentions,url_count,emoji_count,external_link,screenshot_url,posting_time,language,seed_label
DCHcZgrt0nj,https://www.instagram.com/daad_worldwide/p/DCHcZgrt0nj/,instagram,daad_worldwide,legitimate_seed_data.json,"47 likes, 1 comments - daad_worldwide on November 8, 2024: ""If you're from Sub-Saharan Africa and want to pursue a Master or PhD related to sustainable development, apply by 21 November for a DAAD In-Country/In-Region scholarship!

The scholarships are available for courses at selected institutions across various countries in Sub-Saharan Africa, offering a wide range of disciplines. Female applicants and candidates from less privileged regions or groups are especially encouraged to apply!

For more information and to view all available courses, click the link in our bio.

#DAAD #ChangeByExchange #DAADScholarship #HigherEducation #Master #PhD #SustainableDevelopment #SubSaharanAfrica #Africa

@daad_kenya @daadghana @daadsouthafrica"". ","If you're from Sub-Saharan Africa and want to pursue a Master or PhD related to sustainable development, apply by 21 November for a DAAD In-Country/In-Region scholarship! The scholarships are available for courses at selected institutions across various countries in Sub-Saharan Africa, offering a wide range of disciplines. Female applicants and candidates from less privileged regions or groups are especially encouraged to apply! For more information and to view all available courses, click the link in our bio","[CAPTION] If you're from Sub-Saharan Africa and want to pursue a Master or PhD related to sustainable development, apply by 21 November for a DAAD In-Country/In-Region scholarship! The scholarships are available for courses at selected institutions across various countries in Sub-Saharan Africa, offering a wide range of disciplines. Female applicants and candidates from less privileged regions or groups are especially encouraged to apply! For more information and to view all available courses, click the link in our bio. DAAD ChangeByExchange DAADScholarship HigherEducation Master PhD SustainableDevelopment SubSaharanAfrica Africa [MENTION] [HASHTAGS] daad changebyexchange daadscholarship highereducation master phd sustainabledevelopment subsaharanafrica africa",daad|changebyexchange|daadscholarship|highereducation|master|phd|sustainabledevelopment|subsaharanafrica|africa,daad_kenya|daadghana|daadsouthafrica,0,0,,data/raw/screenshot/DCHcZgrt0nj.png,2024-11-08T16:00:47+00:00,en,legitimate
DJHGs2rt6aj,https://www.instagram.com/iu.international/p/DJHGs2rt6aj/,instagram,iu.international,legitimate_seed_data.json,"51 likes, 2 comments - iu.international on May 1, 2025: ""Advance your career with a Master's in Artificial Intelligence-on campus in Berlin. 🤖🤩

With IU's M.Sc. in AI, you'll gain future-ready skills in machine learning, data engineering, and technical leadership-taught entirely in English and designed for international students. 🎓

Study in small groups, collaborate with tutors, and access 24/7 support from Syntea-our AI-powered learning assistant. The 2-year programme combines cutting-edge research with real-world application, preparing you for roles like AI Specialist or Technical Project Lead in Germany's thriving tech industry. Head to our website to know more. Link in bio. 💻

#IUInternational #InternationalStudents #StudyinGermany #ArtificialIntelligence #MastersInAI #StudyInBerlin #StudyinEnglish"". ","Advance your career with a Master's in Artificial Intelligence-on campus in Berlin. With IU's M.Sc. in AI, you'll gain future-ready skills in machine learning, data engineering, and technical leadership-taught entirely in English and designed for international students. Study in small groups, collaborate with tutors, and access 24/7 support from Syntea-our AI-powered learning assistant. The 2-year programme combines cutting-edge research with real-world application, preparing you for roles like AI Specialist or Technical Project Lead in Germany's thriving tech industry. Head to our website to know more. Link in bio","[CAPTION] Advance your career with a Master's in Artificial Intelligence-on campus in Berlin. [EMOJI] With IU's M.Sc. in AI, you'll gain future-ready skills in machine learning, data engineering, and technical leadership-taught entirely in English and designed for international students. [EMOJI] Study in small groups, collaborate with tutors, and access 24/7 support from Syntea-our AI-powered learning assistant. The 2-year programme combines cutting-edge research with real-world application, preparing you for roles like AI Specialist or Technical Project Lead in Germany's thriving tech industry. Head to our website to know more. Link in bio. [EMOJI] IUInternational InternationalStudents StudyinGermany ArtificialIntelligence MastersInAI StudyInBerlin StudyinEnglish . [HASHTAGS] iuinternational internationalstudents studyingermany artificialintelligence mastersinai studyinberlin studyinenglish",iuinternational|internationalstudents|studyingermany|artificialintelligence|mastersinai|studyinberlin|studyinenglish,,0,3,,data/raw/screenshot/DJHGs2rt6aj.png,2025-05-01T12:30:29+00:00,en,legitimate
DJEhNyCsPaz,https://www.instagram.com/iu.international/p/DJEhNyCsPaz/,instagram,iu.international,legitimate_seed_data.json,"57 likes, 0 comments - iu.international on April 30, 2025: ""Germany checks all the boxes-world-class education, affordable tuition, a vibrant international community, and a booming job market! ✨

Safe cities, student-friendly living costs, and access to Europe's strongest economy make it the ideal place to launch your academic and professional journey. At IU International, you get the best of Germany with English-taught programmes, a diverse student body, and career-focused education tailored for success in Europe and beyond. 🎓🌐

Read more about it in our latest blog. Link in bio. 

#IUInternational #InternationalStudents #StudyinGermany #WhyGermany #StudyAbroad #StudentLifeGermany #GlobalEducation #FutureInEurope"". ","Germany checks all the boxes-world-class education, affordable tuition, a vibrant international community, and a booming job market! Safe cities, student-friendly living costs, and access to Europe's strongest economy make it the ideal place to launch your academic and professional journey. At IU International, you get the best of Germany with English-taught programmes, a diverse student body, and career-focused education tailored for success in Europe and beyond. Read more about it in our latest blog. Link in bio","[CAPTION] Germany checks all the boxes-world-class education, affordable tuition, a vibrant international community, and a booming job market! [EMOJI] Safe cities, student-friendly living costs, and access to Europe's strongest economy make it the ideal place to launch your academic and professional journey. At IU International, you get the best of Germany with English-taught programmes, a diverse student body, and career-focused education tailored for success in Europe and beyond. [EMOJI] Read more about it in our latest blog. Link in bio. IUInternational InternationalStudents StudyinGermany WhyGermany StudyAbroad StudentLifeGermany GlobalEducation FutureInEurope . [HASHTAGS] iuinternational internationalstudents studyingermany whygermany studyabroad studentlifegermany globaleducation futureineurope",iuinternational|internationalstudents|studyingermany|whygermany|studyabroad|studentlifegermany|globaleducation|futureineurope,,0,2,,data/raw/screenshot/DJEhNyCsPaz.png,2025-04-30T12:24:27+00:00,en,legitimate
DKPQeQ9K4jb,https://www.instagram.com/iu.international/p/DKPQeQ9K4jb/,instagram,iu.international,legitimate_seed_data.json,"32 likes, 0 comments - iu.international on May 29, 2025: ""Ready to lead the data revolution? Step into the future with IU's Master's in Data Science in Germany-a programme built for curious minds ready to shape the digital world. 🧠💡

Based in Berlin, this on-campus degree utilises hands-on tutorials with flexible online learning, all taught 100% in English. Whether you aim to pivot your career or level up your current role, you'll master machine learning, AI, and big data tools while building a powerful portfolio through real-world projects. 🎯💼

Learn more about our cutting-edge programmes on our website. Link in bio.
#IUInternational #InternationalStudents #StudyinGermany #DataScienceMasters #BerlinCampus #AIandData #MachineLearning #GlobalCareers #mastersindatascience #mastersindatasciencegermany"". ","Ready to lead the data revolution? Step into the future with IU's Master's in Data Science in Germany-a programme built for curious minds ready to shape the digital world. Based in Berlin, this on-campus degree utilises hands-on tutorials with flexible online learning, all taught 100% in English. Whether you aim to pivot your career or level up your current role, you'll master machine learning, AI, and big data tools while building a powerful portfolio through real-world projects. Learn more about our cutting-edge programmes on our website. Link in bio","[CAPTION] Ready to lead the data revolution? Step into the future with IU's Master's in Data Science in Germany-a programme built for curious minds ready to shape the digital world. [EMOJI] Based in Berlin, this on-campus degree utilises hands-on tutorials with flexible online learning, all taught 100% in English. Whether you aim to pivot your career or level up your current role, you'll master machine learning, AI, and big data tools while building a powerful portfolio through real-world projects. [EMOJI] Learn more about our cutting-edge programmes on our website. Link in bio. IUInternational InternationalStudents StudyinGermany DataScienceMasters BerlinCampus AIandData MachineLearning GlobalCareers mastersindatascience mastersindatasciencegermany . [HASHTAGS] iuinternational internationalstudents studyingermany datasciencemasters berlincampus aianddata machinelearning globalcareers mastersindatascience mastersindatasciencegermany",iuinternational|internationalstudents|studyingermany|datasciencemasters|berlincampus|aianddata|machinelearning|globalcareers|mastersindatascience|mastersindatasciencegermany,,0,2,,data/raw/screenshot/DKPQeQ9K4jb.png,2025-05-29T13:01:13+00:00,en,legitimate
DXE582ml2xi,https://www.instagram.com/iu.international/p/DXE582ml2xi/,instagram,iu.international,legitimate_seed_data.json,"12 likes, 0 comments - iu.international on April 13, 2026: ""Step into the future of technology with our MSc Computer Science programme in Cologne. 💻 

Gain in-demand technical expertise, work on real-world projects, and develop the problem-solving skills employers are actively looking for. With a strong focus on practical application of theory, you'll graduate ready to step into high-impact roles and grow in today's fast-evolving digital landscape. Get more information on our website. Link in bio. 🚀 

#IUInternational #InternationalStudents #StudyinGermany #computerscience"". ","Step into the future of technology with our MSc Computer Science programme in Cologne. Gain in-demand technical expertise, work on real-world projects, and develop the problem-solving skills employers are actively looking for. With a strong focus on practical application of theory, you'll graduate ready to step into high-impact roles and grow in today's fast-evolving digital landscape. Get more information on our website. Link in bio","[CAPTION] Step into the future of technology with our MSc Computer Science programme in Cologne. [EMOJI] Gain in-demand technical expertise, work on real-world projects, and develop the problem-solving skills employers are actively looking for. With a strong focus on practical application of theory, you'll graduate ready to step into high-impact roles and grow in today's fast-evolving digital landscape. Get more information on our website. Link in bio. [EMOJI] IUInternational InternationalStudents StudyinGermany computerscience . [HASHTAGS] iuinternational internationalstudents studyingermany computerscience",iuinternational|internationalstudents|studyingermany|computerscience,,0,2,,data/raw/screenshot/DXE582ml2xi.png,2026-04-13T15:20:07+00:00,en,legitimate
DLUrEnDNP0c,https://www.instagram.com/iu.international/p/DLUrEnDNP0c/,instagram,iu.international,legitimate_seed_data.json,"37 likes, 1 comments - iu.international on June 25, 2025: ""Ready to earn your MBA in one of Europe's most exciting cities-without breaking the bank? IU International University in Berlin offers the perfect mix of flexibility, affordability, and real-world outcomes. 🌟
With our on-campus study options, programmes taught in English, visa and career support, IU is designed for ambitious students ready to go global. Affordable, accredited, and career-focused-this is more than a university. It's your launchpad to the future. Read more in our latest blog. Link in bio. 

#StudyAtIU #MBAinBerlin #IUInternational #StudyinGermany #MBAAbroad #BerlinStudentLife #InternationalStudents"". ","Ready to earn your MBA in one of Europe's most exciting cities-without breaking the bank? IU International University in Berlin offers the perfect mix of flexibility, affordability, and real-world outcomes. With our on-campus study options, programmes taught in English, visa and career support, IU is designed for ambitious students ready to go global. Affordable, accredited, and career-focused-this is more than a university. It's your launchpad to the future. Read more in our latest blog. Link in bio","[CAPTION] Ready to earn your MBA in one of Europe's most exciting cities-without breaking the bank? IU International University in Berlin offers the perfect mix of flexibility, affordability, and real-world outcomes. [EMOJI] With our on-campus study options, programmes taught in English, visa and career support, IU is designed for ambitious students ready to go global. Affordable, accredited, and career-focused-this is more than a university. It's your launchpad to the future. Read more in our latest blog. Link in bio. StudyAtIU MBAinBerlin IUInternational StudyinGermany MBAAbroad BerlinStudentLife InternationalStudents . [HASHTAGS] studyatiu mbainberlin iuinternational studyingermany mbaabroad berlinstudentlife internationalstudents",studyatiu|mbainberlin|iuinternational|studyingermany|mbaabroad|berlinstudentlife|internationalstudents,,0,1,,data/raw/screenshot/DLUrEnDNP0c.png,2025-06-25T12:01:14+00:00,en,legitimate
DQWBEA2k-ga,https://www.instagram.com/iu.international/p/DQWBEA2k-ga/,instagram,iu.international,legitimate_seed_data.json,"59 likes, 0 comments - iu.international on October 28, 2025: ""Did you know that Germany's Summer intake might just be the perfect start for your studies!? 🌸
Start your studies in April in Germany, enjoy your classes, and settle in with ease in beautiful weather. Applications and admission processes take time, so now's the time to plan ahead. 🗓️

#IUInternational #InternationalStudents #StudyinGermany #SummerIntake #StudyAbroad"". ","Did you know that Germany's Summer intake might just be the perfect start for your studies!? Start your studies in April in Germany, enjoy your classes, and settle in with ease in beautiful weather. Applications and admission processes take time, so now's the time to plan ahead. ️","[CAPTION] Did you know that Germany's Summer intake might just be the perfect start for your studies!? [EMOJI] Start your studies in April in Germany, enjoy your classes, and settle in with ease in beautiful weather. Applications and admission processes take time, so now's the time to plan ahead. [EMOJI] ️ IUInternational InternationalStudents StudyinGermany SummerIntake StudyAbroad . [HASHTAGS] iuinternational internationalstudents studyingermany summerintake studyabroad",iuinternational|internationalstudents|studyingermany|summerintake|studyabroad,,0,2,,data/raw/screenshot/DQWBEA2k-ga.png,2025-10-28T07:09:36+00:00,en,legitimate
DJZMDLcOPm8,https://www.instagram.com/iu.international/p/DJZMDLcOPm8/,instagram,iu.international,legitimate_seed_data.json,"30 likes, 2 comments - iu.international on May 8, 2025: ""Think like a coder, lead like a visionary. 💡🤩
Study Computer Science in English and become part of Germany's thriving digital economy in Germany. Get hands-on with AI, security, and data, and launch your tech career from Berlin, the startup capital of Europe. 🎯
Learn more about MSC Computer Science on our website. Link in bio. 

#IUInternational #StudyinGermany #InternationalStudents #ComputerScience #TechCareers #MScGermany #BerlinTech #DigitalSkills"". ","Think like a coder, lead like a visionary. Study Computer Science in English and become part of Germany's thriving digital economy in Germany. Get hands-on with AI, security, and data, and launch your tech career from Berlin, the startup capital of Europe. Learn more about MSC Computer Science on our website. Link in bio","[CAPTION] Think like a coder, lead like a visionary. [EMOJI] Study Computer Science in English and become part of Germany's thriving digital economy in Germany. Get hands-on with AI, security, and data, and launch your tech career from Berlin, the startup capital of Europe. [EMOJI] Learn more about MSC Computer Science on our website. Link in bio. IUInternational StudyinGermany InternationalStudents ComputerScience TechCareers MScGermany BerlinTech DigitalSkills . [HASHTAGS] iuinternational studyingermany internationalstudents computerscience techcareers mscgermany berlintech digitalskills",iuinternational|studyingermany|internationalstudents|computerscience|techcareers|mscgermany|berlintech|digitalskills,,0,2,,data/raw/screenshot/DJZMDLcOPm8.png,2025-05-08T13:03:34+00:00,en,legitimate
DLFp3KwsrlT,https://www.instagram.com/iu.international/p/DLFp3KwsrlT/,instagram,iu.international,legitimate_seed_data.json,"28 likes, 0 comments - iu.international on June 19, 2025: ""U's MBA in International Marketing is your gateway to the international business world-right from Berlin, the heart of Europe's creative and commercial scene. 🏙️

From market research and consumer analytics to brand strategy and innovation leadership, this degree equips you to thrive in high-demand sectors like FMCG, tech,
and automotive. You'll also gain 24/7 access to IU's AI-powered tutor Syntea and support from experienced faculty, so you're never studying alone. 🎯💡

Get ready for a career as a Marketing Manager, Brand Strategist, or Market Analyst with a globally recognised, accredited MBA. Apply now and get one step closer to your dream job in the EU! Head to our website to learn more here: bit.ly/3Pfa609

#MBAinMarketing #StudyinGermany #IUInternational #InternationalStudents #MarketingCareers #GlobalBusiness #BerlinCampus #OnCampusMBA
#StudyAbroadGermany #MarketingLeadership #DigitalMarketingMBA"". ","U's MBA in International Marketing is your gateway to the international business world-right from Berlin, the heart of Europe's creative and commercial scene. ️ From market research and consumer analytics to brand strategy and innovation leadership, this degree equips you to thrive in high-demand sectors like FMCG, tech, and automotive. You'll also gain 24/7 access to IU's AI-powered tutor Syntea and support from experienced faculty, so you're never studying alone. Get ready for a career as a Marketing Manager, Brand Strategist, or Market Analyst with a globally recognised, accredited MBA. Apply now and get one step closer to your dream job in the EU! Head to our website to learn more here: bit.ly/3Pfa609","[CAPTION] U's MBA in International Marketing is your gateway to the international business world-right from Berlin, the heart of Europe's creative and commercial scene. [EMOJI] ️ From market research and consumer analytics to brand strategy and innovation leadership, this degree equips you to thrive in high-demand sectors like FMCG, tech, and automotive. You'll also gain 24/7 access to IU's AI-powered tutor Syntea and support from experienced faculty, so you're never studying alone. [EMOJI] Get ready for a career as a Marketing Manager, Brand Strategist, or Market Analyst with a globally recognised, accredited MBA. Apply now and get one step closer to your dream job in the EU! Head to our website to learn more here: bit.ly/3Pfa609 MBAinMarketing StudyinGermany IUInternational InternationalStudents MarketingCareers GlobalBusiness BerlinCampus OnCampusMBA StudyAbroadGermany MarketingLeadership DigitalMarketingMBA . [HASHTAGS] mbainmarketing studyingermany iuinternational internationalstudents marketingcareers globalbusiness berlincampus oncampusmba studyabroadgermany marketingleadership digitalmarketingmba",mbainmarketing|studyingermany|iuinternational|internationalstudents|marketingcareers|globalbusiness|berlincampus|oncampusmba|studyabroadgermany|marketingleadership|digitalmarketingmba,,0,2,,data/raw/screenshot/DLFp3KwsrlT.png,2025-06-19T16:02:04+00:00,en,legitimate
DRjkdR5jkZJ,https://www.instagram.com/srh_university_international/p/DRjkdR5jkZJ/,instagram,srh_university_international,legitimate_seed_data.json,"54 likes, 0 comments - srh_university_international on November 27, 2025: ""📢 Recap: Info Day at Leipzig Campus

What an amazing day! 🎉
Many visitors stopped by to learn more about our degree programs - from Psychology to Physician Assistance and International Business Administration.
A special highlight: the raffle with awesome prizes! 🎁

➡️ The next Info Day at Leipzig Campus will take place on January 15. You can register on our website under ""Events"".
#SRHUniversity #SRHCampusLeipzig #StudyatSRH #Education #Infoday"". ","Recap: Info Day at Leipzig Campus What an amazing day! Many visitors stopped by to learn more about our degree programs - from Psychology to Physician Assistance and International Business Administration. A special highlight: the raffle with awesome prizes! ️ The next Info Day at Leipzig Campus will take place on January 15. You can register on our website under ""Events","[CAPTION] [EMOJI] Recap: Info Day at Leipzig Campus What an amazing day! [EMOJI] Many visitors stopped by to learn more about our degree programs - from Psychology to Physician Assistance and International Business Administration. A special highlight: the raffle with awesome prizes! [EMOJI] ️ The next Info Day at Leipzig Campus will take place on January 15. You can register on our website under ""Events"". SRHUniversity SRHCampusLeipzig StudyatSRH Education Infoday . [HASHTAGS] srhuniversity srhcampusleipzig studyatsrh education infoday",srhuniversity|srhcampusleipzig|studyatsrh|education|infoday,,0,4,,data/raw/screenshot/DRjkdR5jkZJ.png,2025-11-27T10:00:30+00:00,en,legitimate
